code,name
1,VENDA - 1
3,SERVICOS/OUTROS - 3
4,SIMPLES - 4
6,FGTS - 6
7,ÁGUA - 7
8,ENERGIA - 8
9,TELEFONE/INTERNET - 9
10,CONTADOR/ASSESSORIA - 10
11,ALIMENTAÇÃO/LIMPEZA - 11
12,ALUGUEL - 12
13,MAT P/ ESCRITORIO - 13
14,MANUT VEÍCULOS - 14
15,EQUIP. INFORMÁTICA - 15
16,MÓVEIS/EQUIPAMENTOS - 16
17,BENFEIT. E INSTALAÇÕES - 17
18,FUNCIONÁRIOS - 18
20,COMB. VEICULOS - 20
21,AQUISICAO INFORMATICA - 21
22,AQUISICAO VEÍCULOS - 22
23,AQUISICAO MOVEIS P/ ESCRITÓRIO - 23
27,ENTRADA CAPITAL - 27
29,GPS\INSS - 29
33,B. BRASIL FRUTAL - 33
34,COMB. MOTO - 34
36,MANUT MOTO - 36
41,JUROS PAGOS - 41
42,TARIFAS BANCARIAS - 42
43,CPMF/IOF - 43
44,BANCARIOS/PESSOAIS - 44
46,JUROS RECEBIDOS - 46
47,IPVA/DPVAT/LINCENC - 47
49,AQUISICAO CONSORCIOS/TITULOS CAPITALIZ. - 49
50,13º SALARIO - 50
52,DESCONTO POS FATURAMENTO - 52
54,CEF - 54
55,BRASIL - 55
56,DIVINO JOSE - 56
57,DISTRIBUICAO LUCROS - 57
59,FERRAMENTAS - 59
61,AQUISICAO FERRAMENTAS - 61
63,CHEQUE SEM FUNDO - 63
64,AQUISICAO IMOVEIS - 64
65,ADIANTAMENTO - 65
66,ADIANTAMENTO - 66
67,ANTONIO JOSE - 67
68,GRAFICAS/IMPRESSOS - 68
69,MARKETING DIGITAL - 69
70,PATROCINIO/BRINDES/DOACOES - 70
71,PERDAS COM ESTOQUE - 71
72,AQUISICAO QUOTAS DE COOP. - 72
73,AQUISICAO PREVIDENCIA - 73
74,TRANSFERENCIA - 74
75,TRANSFERENCIA - 75
76,EMPRESTIMO - 76
77,FRETE - 77
78,ASSOCIACAO DE CLASSE - 78
79,BONIFICACAO - 79
80,AQUISICAO BARRACAO - 80
81,EXAMES - 81
82,SEGURO DE VIDA - 82
83,TAXA/DESPESA COM MAQ. CARTAO - 83
84,AJUSTE DE SALDO A MENOR - 84
85,MATERIAIS DE USO E CONSUMO - 85
86,COMISSAO EXTERNA - 86
88,PEÇAS - 88
89,DAE - 89
92,GASTOS COM RESCISÕES - 92
93,ASSESSORIA JURIDICA - 93
94,CURSOS E TREINAMENTOS - 94
95,UNIFORMES - 95
96,E.P.I - 96
